start...

30sec fixe on breadboard
~344hz ~2.9ms per measure

Counter_?ms;AccelX;AccelY;AccelZ;AngleX;AngleY;AngleZ;GyroX;GyroY;GyroZ;Pitch;Roll;Yaw;Temperature;
0;1.008;0.004;0.001;0.208;-89.785;0.056;0.626;-3.557;-1.588;-3.978;0.076;-0.180;21.189;
1;1.008;0.004;0.001;0.208;-89.785;0.056;0.626;-3.557;-1.588;-3.978;0.076;-0.180;21.189;
2;1.008;0.004;0.001;0.208;-89.785;0.056;0.626;-3.557;-1.588;-3.978;0.076;-0.180;21.189;
3;1.008;0.004;0.001;0.208;-89.785;0.056;0.626;-3.557;-1.588;-3.978;0.076;-0.180;21.189;
4;1.008;0.004;0.001;0.208;-89.785;0.056;0.626;-3.557;-1.588;-3.978;0.076;-0.180;21.189;
5;1.008;0.004;0.001;0.208;-89.785;0.056;0.626;-3.557;-1.588;-3.978;0.076;-0.180;21.189;
6;1.008;0.004;0.001;0.208;-89.785;0.056;0.626;-3.557;-1.588;-3.978;0.076;-0.180;21.189;
7;1.008;0.004;0.001;0.208;-89.785;0.056;0.626;-3.557;-1.588;-3.978;0.076;-0.180;21.189;
8;1.008;0.004;0.001;0.208;-89.785;0.056;0.626;-3.557;-1.588;-3.978;0.076;-0.180;21.189;
9;1.008;0.004;0.001;0.208;-89.785;0.056;0.626;-3.557;-1.588;-3.978;0.076;-0.180;21.189;
10;1.013;-0.001;0.008;-0.041;-89.542;0.456;0.626;-3.695;-1.710;-4.005;0.073;-0.197;21.095;
11;1.013;-0.001;0.008;-0.041;-89.542;0.456;0.626;-3.695;-1.710;-4.005;0.073;-0.197;21.095;
12;1.013;-0.001;0.008;-0.041;-89.542;0.456;0.626;-3.695;-1.710;-4.005;0.073;-0.197;21.095;
13;1.013;-0.001;0.008;-0.041;-89.542;0.456;0.626;-3.695;-1.710;-4.005;0.073;-0.197;21.095;
14;1.013;-0.001;0.008;-0.041;-89.542;0.456;0.626;-3.695;-1.710;-4.005;0.073;-0.197;21.095;
15;1.013;-0.001;0.008;-0.041;-89.542;0.456;0.626;-3.695;-1.710;-4.005;0.073;-0.197;21.095;
16;1.013;-0.001;0.008;-0.041;-89.542;0.456;0.626;-3.695;-1.710;-4.005;0.073;-0.197;21.095;
17;1.013;-0.001;0.008;-0.041;-89.542;0.456;0.626;-3.695;-1.710;-4.005;0.073;-0.197;21.095;
