start...

30sec at max output speed at 921600 baudrate
~2930hz ~341µs for every measure

CNT_?ms;PITCH;ROLL;YAW;
0;nan;nan;0.000;
1;nan;nan;0.000;
2;nan;nan;0.000;
3;nan;nan;0.000;
4;nan;nan;0.000;
5;nan;nan;0.000;
6;nan;nan;0.000;
7;nan;nan;0.000;
8;nan;nan;0.000;
9;nan;nan;0.000;
10;nan;nan;0.000;
11;nan;nan;0.000;
12;nan;nan;0.000;
13;nan;nan;0.000;
14;nan;nan;0.000;
15;nan;nan;0.000;
16;nan;nan;0.000;
17;nan;nan;0.000;
18;nan;nan;0.000;
19;nan;nan;0.000;
20;nan;nan;0.000;
21;nan;nan;0.000;
22;nan;nan;0.000;
23;nan;nan;0.000;
24;nan;nan;0.000;
25;nan;nan;0.000;
26;nan;nan;0.000;
27;nan;nan;0.000;
28;nan;nan;0.000;
29;nan;nan;0.000;
30;nan;nan;0.000;
31;nan;nan;0.000;
32;nan;nan;0.000;
33;nan;nan;0.000;
34;nan;nan;0.000;
35;nan;nan;0.000;
36;nan;nan;0.000;
37;nan;nan;0.000;
38;nan;nan;0.000;
39;nan;nan;0.000;
40;nan;nan;0.000;
41;nan;nan;0.000;
42;nan;nan;0.000;
43;nan;nan;0.000;
44;nan;nan;0.000;
45;nan;nan;0.000;
46;-3.366;-0.072;-0.403;
47;-3.366;-0.072;-0.403;
48;-3.366;-0.072;-0.403;
49;-3.366;-0.072;-0.403;
50;-3.366;-0.072;-0.403;
51;-3.366;-0.072;-0.403;
52;-3.366;-0.072;-0.403;
53;-3.366;-0.072;-0.403;
54;-3.366;-0.072;-0.403;
55;-3.366;-0.072;-0.403;
56;-3.366;-0.072;-0.403;
57;-3.366;-0.072;-0.403;
58;-3.366;-0.072;-0.403;
59;-3.366;-0.072;-0.403;
60;-3.366;-0.072;-0.403;
61;-3.366;-0.072;-0.403;
62;-3.366;-0.072;-0.403;
63;-3.366;-0.072;-0.403;
64;-3.366;-0.072;-0.403;
65;-3.366;-0.072;-0.403;
66;-3.366;-0.072;-0.403;
67;-3.366;-0.072;-0.403;
68;-3.366;-0.072;-0.403;
69;-3.366;-0.072;-0.403;
70;-3.366;-0.072;-0.403;
71;-3.366;-0.072;-0.403;
72;-3.366;-0.072;-0.403;
73;-3.366;-0.072;-0.403;
74;-3.366;-0.072;-0.403;
75;-3.366;-0.072;-0.403;
76;-3.366;-0.072;-0.403;
77;-3.366;-0.072;-0.403;
78;-3.366;-0.072;-0.403;
79;-3.366;-0.072;-0.403;
80;-3.392;-0.080;-0.811;
81;-3.392;-0.080;-0.811;
82;-3.392;-0.080;-0.811;
83;-3.392;-0.080;-0.811;
84;-3.392;-0.080;-0.811;
85;-3.392;-0.080;-0.811;
86;-3.392;-0.080;-0.811;
87;-3.392;-0.080;-0.811;
88;-3.392;-0.080;-0.811;
89;-3.392;-0.080;-0.811;
90;-3.392;-0.080;-0.811;
91;-3.392;-0.080;-0.811;
92;-3.392;-0.080;-0.811;
93;-3.392;-0.080;-0.811;
94;-3.392;-0.080;-0.811;
95;-3.392;-0.080;-0.811;
96;-3.392;-0.080;-0.811;
97;-3.392;-0.080;-0.811;
98;-3.392;-0.080;-0.811;
99;-3.392;-0.080;-0.811;
100;-3.392;-0.080;-0.811;
101;-3.392;-0.080;-0.811;
102;-3.392;-0.080;-0.811;
103;-3.392;-0.080;-0.811;
104;-3.392;-0.080;-0.811;
105;-3.392;-0.080;-0.811;
106;-3.392;-0.080;-0.811;
107;-3.392;-0.080;-0.811;
108;-3.392;-0.080;-0.811;
109;-3.392;-0.080;-0.811;
110;-3.392;-0.080;-0.811;
111;-3.392;-0.080;-0.811;
112;-3.392;-0.080;-0.811;
113;-3.392;-0.080;-0.811;
114;-3.418;-0.076;-0.825;
115;-3.418;-0.076;-0.825;
116;-3.418;-0.076;-0.825;
117;-3.418;-0.076;-0.825;
118;-3.418;-0.076;-0.825;
119;-3.418;-0.076;-0.825;
120;-3.418;-0.076;-0.825;
121;-3.418;-0.076;-0.825;
122;-3.418;-0.076;-0.825;
123;-3.418;-0.076;-0.825;
124;-3.418;-0.076;-0.825;
125;-3.418;-0.076;-0.825;
126;-3.418;-0.076;-0.825;
127;-3.418;-0.076;-0.825;
128;-3.418;-0.076;-0.825;
129;-3.418;-0.076;-0.825;
130;-3.418;-0.076;-0.825;
131;-3.418;-0.076;-0.825;
132;-3.418;-0.076;-0.825;
133;-3.418;-0.076;-0.825;
134;-3.418;-0.076;-0.825;
135;-3.418;-0.076;-0.825;
136;-3.418;-0.076;-0.825;
137;-3.418;-0.076;-0.825;
138;-3.418;-0.076;-0.825;
139;-3.418;-0.076;-0.825;
140;-3.418;-0.076;-0.825;
141;-3.418;-0.076;-0.825;
142;-3.418;-0.076;-0.825;
143;-3.418;-0.076;-0.825;
144;-3.418;-0.076;-0.825;
145;-3.418;-0.076;-0.825;
146;-3.418;-0.076;-0.825;
147;-3.437;-0.064;-0.839;
148;-3.437;-0.064;-0.839;
149;-3.437;-0.064;-0.839;
150;-3.437;-0.064;-0.839;
151;-3.437;-0.064;-0.839;
152;-3.437;-0.064;-0.839;
153;-3.437;-0.064;-0.839;
154;-3.437;-0.064;-0.839;
155;-3.437;-0.064;-0.839;
156;-3.437;-0.064;-0.839;
157;-3.437;-0.064;-0.839;
158;-3.437;-0.064;-0.839;
159;-3.437;-0.064;-0.839;
160;-3.437;-0.064;-0.839;
161;-3.437;-0.064;-0.839;
162;-3.437;-0.064;-0.839;
163;-3.437;-0.064;-0.839;
164;-3.437;-0.064;-0.839;
165;-3.437;-0.064;-0.839;
166;-3.437;-0.064;-0.839;
167;-3.437;-0.064;-0.839;
168;-3.437;-0.064;-0.839;
169;-3.437;-0.064;-0.839;
170;-3.437;-0.064;-0.839;
171;-3.437;-0.064;-0.839;
172;-3.437;-0.064;-0.839;
173;-3.437;-0.064;-0.839;
